GeneID	LOG_count	WT0_count	LOG_rpkm	WT0_rpkm	log2 Ratio(WT0/LOG)	Pvalue	FDR	significant
Unigene0009593	4327	7369	80.1296	135.8358	0.761456577	2.29E-112	1.14E-110	no
Unigene0009594	6	53	0.5468	4.808	3.136351748	1.85E-10	1.25E-09	yes
Unigene0009595	709	950	22.7308	30.3173	0.415492816	2.44E-08	1.40E-07	no
Unigene0009596	163	283	10.2739	17.7556	0.789290176	2.62E-08	1.49E-07	no
Unigene0009597	13	17	1.5409	2.0058	0.380404523	0.584948842	0.74208004	no
Unigene0009598	105	55	4.1635	2.1709	-0.939503553	0.000101178	0.000386272	no
Unigene0009599	13	8	2.2798	1.3965	-0.707091693	0.383562455	0.549765831	no
Unigene0009600	4	0	0.51	0.001	-8.994353437	0.125037499	0.223164129	no
Unigene0009601	24	27	2.2614	2.5324	0.1632891	0.780042712	0.911743976	no
Unigene0009602	6	5	1.1307	0.9379	-0.269710187	1	1	no
Unigene0009603	107	174	7.2897	11.7998	0.694831059	8.59E-05	0.000330979	no
Unigene0009604	867	579	22.2627	14.7992	-0.589109382	1.49E-13	1.22E-12	no
Unigene0009605	15	40	1.277	3.3897	1.408399071	0.001031783	0.003294081	yes
Unigene0009606	10	7	1.7537	1.222	-0.521157686	0.629207129	0.781563131	no
Unigene0009607	8	10	1.6291	2.027	0.315270924	0.814612826	0.937750861	no
Unigene0009608	1062	572	23.2622	12.4716	-0.899340982	2.89E-32	4.61E-31	no
Unigene0009609	5	12	0.9999	2.3887	1.256369952	0.143633064	0.251507446	no
Unigene0009610	1857	1658	45.5786	40.5072	-0.170178247	0.001335552	0.00417504	no
Unigene0009612	54	1144	0.9488	20.0081	4.398336353	5.42E-253	6.59E-251	yes
Unigene0009613	223	337	13.9451	20.9771	0.589056965	3.46E-06	1.60E-05	no
Unigene0009614	459	599	16.9548	22.0245	0.377415501	3.95E-05	0.000159671	no
Unigene0009615	19	47	2.0711	5.0997	1.300015167	0.000771085	0.002533038	yes
Unigene0009616	5	14	1.163	3.2415	1.478810476	0.063692328	0.128094639	no
Unigene0009617	61	38	8.4779	5.257	-0.689467214	0.026898139	0.061286682	no
Unigene0009618	1329	2776	27.9329	58.0778	1.056021442	7.93E-99	3.48E-97	yes
Unigene0009619	38	83	5.066	11.0143	1.120458827	5.54E-05	0.000219881	yes
Unigene0009620	2668	5669	74.7963	158.1977	1.080689815	3.52E-177	2.76E-175	yes
Unigene0009621	11	12	1.6708	1.8143	0.118873981	1	1	no
Unigene0009622	9	7	1.9776	1.5311	-0.369182136	0.803697892	0.929257144	no
Unigene0009623	14	10	3.0402	2.1616	-0.492066655	0.541501489	0.700814016	no
Unigene0009624	2	4	0.3132	0.6235	0.993305347	0.687546866	0.832683124	no
Unigene0009625	6	26	0.8277	3.5701	2.108784623	0.000540282	0.001818168	yes
Unigene0009626	27	41	2.3235	3.5121	0.596034278	0.114868802	0.211137486	no
Unigene0009627	762	1062	17.1296	23.7638	0.472274089	3.41E-11	2.42E-10	no
Unigene0009628	8	66	0.6326	5.1952	3.037813829	1.96E-12	1.51E-11	yes
Unigene0009629	36	38	2.9345	3.0833	0.07136056	0.907731162	1	no
Unigene0009630	2917	1521	57.7917	29.9956	-0.946111419	2.26E-85	8.65E-84	no
Unigene0009631	1022	1392	23.5359	31.9094	0.43911846	2.10E-12	1.61E-11	no
Unigene0009632	471	451	10.1058	9.6322	-0.06924628	0.49894462	0.660319045	no
Unigene0009633	893	1078	20.0098	24.0441	0.264976178	0.000108366	0.000411306	no
Unigene0009634	794	546	17.6633	12.0905	-0.546880996	3.38E-11	2.40E-10	no
Unigene0009635	2110	2478	36.3948	42.5459	0.225287775	2.00E-06	9.51E-06	no
Unigene0009636	121	100	16.9866	13.974	-0.281652069	0.180772744	0.302648437	no
Unigene0009637	2235	2421	33.4814	36.1011	0.108682942	0.021389451	0.050186888	no
Unigene0009638	194	72	8.2643	3.0531	-1.436617782	6.05E-14	5.08E-13	yes
Unigene0009639	84	35	11.2254	4.6558	-1.269665864	8.69E-06	3.83E-05	yes
Unigene0009640	3	3	0.431	0.429	-0.006710222	1	1	no
Unigene0009641	19	4	2.5952	0.5439	-2.254432394	0.00261354	0.007694749	yes
Unigene0009642	2	0	0.4118	0.001	-8.68580002	0.500024999	0.660319045	no
Unigene0009644	4	5	0.8553	1.0642	0.315266864	1	1	no
Unigene0009645	8	25	1.3855	4.3097	1.637180735	0.004583775	0.012745693	yes
Unigene0009646	8	14	0.8636	1.5043	0.800657161	0.286545428	0.437204125	no
Unigene0009647	2	127	0.2957	18.691	5.982065704	3.62E-35	6.20E-34	yes
Unigene0009648	860	629	19.1545	13.9451	-0.457925087	4.55E-09	2.77E-08	no
Unigene0009649	25	4	5.2446	0.8353	-2.650466401	0.000104826	0.000399032	yes
Unigene0009650	162	110	9.2275	6.2368	-0.565133837	0.002071596	0.006233777	no
Unigene0009651	29	16	2.6129	1.435	-0.864601174	0.072774081	0.143023846	no
Unigene0009652	6	5	0.9189	0.7622	-0.26973826	1	1	no
Unigene0009653	8	20	1.2286	3.0573	1.315242836	0.035825563	0.078083094	no
Unigene0009654	1	11	0.2396	2.6237	3.452902955	0.006362167	0.01719133	yes
Unigene0009655	4284	5569	76.3574	98.8048	0.371813151	1.55E-25	2.07E-24	no
Unigene0009656	8	8	1.4924	1.4856	-0.006588545	1	1	no
Unigene0009657	308	172	8.5484	4.7519	-0.847149941	6.84E-10	4.43E-09	no
Unigene0009658	38	40	4.1503	4.3487	0.067368562	0.910121549	1	no
Unigene0009659	61	150	3.6386	8.9062	1.291426549	9.46E-10	6.07E-09	yes
Unigene0009660	90	63	6.8727	4.7888	-0.521212802	0.035910864	0.078133281	no
Unigene0009661	493	446	6.2933	5.6671	-0.151206057	0.125745833	0.224255232	no
Unigene0009662	4	2	0.5124	0.255	-1.006773229	0.687546866	0.832683124	no
Unigene0009663	793	494	29.9287	18.5584	-0.68945728	3.11E-16	2.91E-15	no
Unigene0009664	116	720	3.7298	23.0438	2.627208464	1.23E-102	5.55E-101	yes
Unigene0009665	3	2	0.4483	0.2975	-0.591574831	1	1	no
Unigene0009666	46	24	4.9463	2.5688	-0.945255174	0.011670367	0.02948545	no
Unigene0009667	77	88	10.5434	11.9942	0.185996757	0.43825389	0.610825135	no
Unigene0009668	31	37	3.5243	4.1871	0.248614638	0.545297453	0.7049112	no
Unigene0009669	20	7	2.7589	0.9612	-1.521184612	0.01923675	0.045748097	yes
Unigene0009670	18	13	3.1667	2.2765	-0.47616274	0.47347509	0.645641854	no
Unigene0009671	46	25	4.255	2.3019	-0.886333971	0.01718923	0.041238775	no
Unigene0009672	2	3	0.4343	0.6485	0.578414622	1	1	no
Unigene0009673	3	0	0.4019	0.001	-8.650692767	0.250037498	0.39084956	no
Unigene0009675	4	5	0.5601	0.6969	0.315267227	1	1	no
Unigene0009676	162	83	19.4514	9.92	-0.97146197	5.88E-07	2.97E-06	no
