ID	logFC
ENSG00000146166	-2.2304
ENSG00000104804	5.1465
ENSG00000137270	3.5714
ENSG00000144821	4.5234
ENSG00000135636	3.6652
ENSG00000162891	5.5992
ENSG00000106772	5.5098
ENSG00000242866	3.8864
ENSG00000178764	1.3449
ENSG00000172361	1.178
ENSG00000188763	1.3017
ENSG00000183044	5.5378
ENSG00000241935	-1.3087
ENSG00000159208	4.4512
ENSG00000232810	3.6579
ENSG00000175567	-1.0656
ENSG00000159167	2.1973
ENSG00000253958	1.0547
ENSG00000171631	-2.8284
ENSG00000008311	-1.1642
ENSG00000115221	-1.7167
ENSG00000060566	5.459
ENSG00000155265	3.8746
ENSG00000130822	1.6765
ENSG00000183196	2.3335
ENSG00000151790	4.4844
ENSG00000117152	5.4354
ENSG00000187796	1.134
ENSG00000205309	1.0467
ENSG00000215262	-1.487
ENSG00000099338	1.2935
ENSG00000161958	1.8608
ENSG00000198121	1.681
ENSG00000131015	1.1722
ENSG00000164764	-1.1623
ENSG00000188778	4.3171
ENSG00000049192	-1.4741
ENSG00000112245	1.2579
ENSG00000260428	1.3576
ENSG00000137501	-1.1061
ENSG00000135424	1.6024
ENSG00000019186	-1.4136
ENSG00000166682	-1.4836
ENSG00000120729	-1.1724
ENSG00000198835	-1.3654
ENSG00000164007	4.2794
ENSG00000111834	-1.9208
ENSG00000120051	1.7086
ENSG00000188293	5.4009
ENSG00000128591	1.0459
ENSG00000139988	2.1303
ENSG00000274286	5.057
ENSG00000127588	1.5592
ENSG00000184564	-2.5059
ENSG00000007264	4.1955
ENSG00000127578	1.5419
ENSG00000069764	3.6769
ENSG00000270276	-2.1234
ENSG00000171124	5.3383
ENSG00000184113	2.2562
ENSG00000151611	-1.2268
ENSG00000128346	1.4383
ENSG00000142623	1.4288
ENSG00000160469	1.4352
ENSG00000100156	1.192
ENSG00000187908	2.0163
ENSG00000111348	-1.7076
ENSG00000151474	-1.1032
ENSG00000164318	-1.2249
ENSG00000166342	-2.8866
ENSG00000255561	-1.3097
ENSG00000137843	-1.4549
ENSG00000196569	-1.475
ENSG00000142611	3.4652
ENSG00000137648	5.1909
ENSG00000182902	1.4334
ENSG00000158859	-1.2395
ENSG00000118194	-5.1653
ENSG00000103316	3.5825
ENSG00000086717	-1.1109
ENSG00000221986	-3.0416
ENSG00000067798	-1.2439
ENSG00000014257	-5.1048
ENSG00000105219	2.389
ENSG00000008517	-1.3435
ENSG00000160318	-1.666
ENSG00000073849	-1.2137
ENSG00000154864	-2.9155
