id      	A1	A2	A3	B1	B2	B3	C1	C2	C3
Unigene0000094	0.229	0.0556	0	0.1632	0.2311	0.0776	0.0403	0	0.5185
Unigene0000095	0.6343	0.1026	0.2868	0.4269	0.7706	0.3821	0.0496	0.1818	0.0737
Unigene0000096	5.234	7.7071	7.534	3.8245	3.2828	4.7636	7.5754	5.5157	6.8146
Unigene0000097	0.771	0.7332	0.323	1.738	3.9067	1.3114	0.0554	0.0974	0.0548
Unigene0000098	13.9354	12.0704	11.8029	11.0595	13.4492	11.9421	7.6118	8.748	7.8343
Unigene0000099	4.9853	5.4308	3.811	6.0726	3.6634	6.2887	3.2436	4.1136	2.9515
Unigene0000100	0.0156	0	0.011	1.2743	11.7916	1.7702	0.7776	0.9147	2.1237
Unigene0000101	0.8354	0.644	0.7477	0	0	0	0.4499	0.3296	0.4965
Unigene0000102	2.931	3.0462	2.6021	1.631	2.5156	1.6702	3.0781	3.6553	3.8896
Unigene0000103	30.3162	37.1549	38.4534	50.5549	37.768	45.4918	29.9305	35.714	27.7784
Unigene0000104	30.8798	25.7593	26.0915	32.042	41.3872	31.1083	23.0555	23.7816	23.9724
Unigene0000105	7.6602	6.6963	8.3525	5.4191	6.7663	7.1333	5.4827	5.3177	5.4725
Unigene0000106	24.491	29.3338	29.5615	42.1722	28.539	37.096	44.6289	30.3209	27.3003
Unigene0000107	0	0.0598	0	0	0	0	0.0434	0	0
Unigene0000108	0.0353	0.1541	0.2995	0.1005	0.2848	0.2629	0.2484	0.1456	0.0614
Unigene0000109	0.6139	0.2384	1.0862	0.175	0.9087	0.7903	0.1297	0.5068	0.2994
Unigene0000110	0.7031	0	0.1244	0	0.9461	0	0	0	0
Unigene0000111	0.4194	0	0.2968	0.0498	0.7995	0.1895	0	0	0
Unigene0000112	0	0	0	0.4182	0.4739	0.5568	0	0	0
Unigene0000113	0.1783	0.1038	0.164	0.0889	0.3119	0.3141	0.1507	0.1104	0.236
Unigene0000114	0.1563	0.232	0.2472	0.3799	0.2907	0.1993	0.0583	0.1138	0.0512
Unigene0000115	0.4475	0.4665	0.1642	0.2008	0.4683	0.1348	0.3618	0.3078	0.6582
Unigene0000116	1.3392	1.1869	1.3599	1.1203	0.4309	0.9173	1.343	1.352	1.2475
Unigene0000117	41.903	39.238	37.6047	32.8851	38.5738	36.3459	28.0771	28.3147	32.7137
Unigene0000118	1.9773	1.948	2.3985	4.7037	1.6481	3.6594	6.0899	4.8018	5.0311
Unigene0000119	1.3343	1.4412	1.7423	0.7633	0.4931	0.6622	0.2647	0.3297	0.6416
Unigene0000120	4.4997	2.9371	3.6787	1.1057	2.8709	0.9462	0.0546	0.4003	0.5406
Unigene0000121	8.4047	5.7187	5.6083	5.932	10.5827	6.2806	2.7567	3.3124	3.6308
Unigene0000122	17.455	19.9138	18.9289	22.0375	18.2639	20.0013	14.5812	16.5101	16.4843
Unigene0000123	7.1641	15.0521	14.5131	59.462	19.1837	41.5544	70.7729	55.3991	40.6872
Unigene0000124	24.1449	25.9187	27.4338	19.6097	21.5092	22.9072	17.7346	20.3291	21.3731
Unigene0000125	46.5461	54.6025	52.2797	76.9789	63.9363	68.2578	59.7913	65.3473	72.018
